01:48:28.308 [main] INFO  c.h.GestionePrenotazioniApplicationTests - Starting GestionePrenotazioniApplicationTests using Java 17.0.7 with PID 21017 (started by hanseladjei in /Users/hanseladjei/eclipse-workspace/GestionePrenotazioni)
01:48:28.321 [main] INFO  c.h.GestionePrenotazioniApplicationTests - No active profile set, falling back to 1 default profile: "default"
01:48:28.951 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
01:48:29.051 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 94 ms. Found 4 JPA repository interfaces.
01:48:29.808 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
01:48:29.876 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.2.Final
01:48:29.883 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
01:48:30.048 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
01:48:30.198 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
01:48:30.256 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
01:48:30.510 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7da1e005
01:48:30.512 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
01:48:30.563 [main] INFO  org.hibernate.orm.dialect - HHH035001: Using dialect: org.hibernate.dialect.PostgreSQLDialect, version: org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$DialectResolutionInfoImpl@6aea99e7
01:48:30.810 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
01:48:31.500 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
01:48:31.651 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
01:48:32.050 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
01:48:32.825 [main] INFO  c.h.GestionePrenotazioniApplicationTests - Started GestionePrenotazioniApplicationTests in 5.061 seconds (process running for 6.509)
01:48:35.663 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
01:48:35.665 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
01:48:35.671 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
